"HLA"	"probe"	"probe.protein"	"probe.NA"	"probe.positive"	"probe.negative"	"beta"	"se"	"F"	"P"	"FDR"
"HLA_DQB1_0201"	"agilent_12509"	"WP_020438185.1"	0	157	1280	0.290321154335615	0.184409569817581	1.57432802767667	0.115411633354001	0.66958199810499
"HLA_DQB1_0201"	"agilent_5479"	"positive (from uniprot): Enterovirus B  Genome polyprotein "	0	130	1307	0.0178199144729492	0.212331923413285	0.0839248012568713	0.933116220567998	0.992963411418813
"HLA_DQB1_0201"	"twist_51534"	"zinc metalloproteinase aureolysin"	0	124	1313	-0.0957234409042976	0.219957789448168	-0.435190047801669	0.663424485834274	0.944649515923651
"HLA_DQB1_0201"	"agilent_9318"	"ORF68"	0	134	1303	0.17946900254378	0.197880558912783	0.906956214040623	0.364429952379637	0.850807992385222
"HLA_DQB1_0201"	"agilent_12512"	"NP_310689.1"	0	149	1288	0.219389590017379	0.189528782013143	1.15755289348171	0.247046542288773	0.788821016385527
"HLA_DQB1_0201"	"twist_46294"	"EBNA-3B nuclear protein [Human gammaherpesvirus 4] & Epstein-Barr nuclear antigen 4"	0	144	1293	-0.296470874424736	0.219835004457319	-1.34860631115868	0.177463452457834	0.737280351661018
"HLA_DQB1_0201"	"agilent_223687"	"VFG000261(gb|NP_273742) (iga) IgA-specific serine endopeptidase [IgA1 protease (VF0080)] [Neisseria meningitidis MC58]"	0	382	1055	0.0589386950725023	0.136007380500136	0.433349240723326	0.664761070463086	0.944968908404981
"HLA_DQB1_0201"	"twist_57309"	"HCMVUL132"	0	97	1340	-0.17383622098531	0.281398058292533	-0.61775913465826	0.536734124887958	0.912457713819623
"HLA_DQB1_0201"	"twist_35800"	"HCMVUL80"	0	82	1355	0.259368051182782	0.268476380382563	0.966074001791883	0.334007152671319	0.836905796957257
"HLA_DQB1_0201"	"twist_48100"	"butyrophilin precursor & Butyrophilin subfamily 1 member A1 & butyrophilin, partial"	0	86	1351	0.00161593408138385	0.269283970847427	0.00600085506871637	0.995212039125027	1
"HLA_DQB1_0201"	"twist_26548"	"55 kDa immediate-early protein 1"	0	69	1368	0.377888455534596	0.273692631901833	1.38070379501534	0.167370053971793	0.727623447694758
"HLA_DQB1_0201"	"agilent_12510"	"WP_000079828.1"	0	148	1289	0.201973469593691	0.189964034389488	1.06321952069927	0.287682411892424	0.813352724210039
"HLA_DQB1_0201"	"agilent_8566"	"Fusion glycoprotein F0 precursor (2/2) & fusion protein (1/2) & fusion glycoprotein"	0	161	1276	0.2454163942336	0.191388183672915	1.28229647998029	0.199738662304759	0.75574712397146
